numero,titulo_atual,produto,tipo_proposto,pai_proposto,prioridade,fase,status,labels,acao,justificativa
537,"Task - QA regressivo do diagnóstico com e sem equipamento",SignallQ,Tarefa,"#547 Inventário local de equipamento",Alta,Fase 2,Backlog,"Dispositivos; Diagnóstico",relacionar,"QA explícito da integração Nokia/TP-Link"
547,"Feat - Absorver inventário local Nokia e TP-Link no SignallQ",SignallQ,Feature,"Épico Inteligência de equipamento local",Alta,Fase 2,Em andamento,"Dispositivos; Fibra",reclassificar,"Guarda-chuva ativo com execução em #1213/#1216"
550,"Feat: diagnóstico guiado por objetivo e modo gamer por jogo/device",SignallQ,História de Usuário,"Feature Jornada de diagnóstico Consumer",Média,Fase 2,Backlog,"Diagnóstico",manter,"Escopo futuro ainda distinto de #410 concluída"
614,"QA — Testar offline, timeout, retry e edge cases",SignallQ,Tarefa,"Feature QA de release",Alta,Lançamento,Bloqueada,"Qualidade; Diagnóstico",reclassificar,"Evidência parcial; requer controle real de rede"
615,"QA — Testar diagnóstico IA end-to-end",SignallQ,Tarefa,"Feature QA de release",Crítica,Lançamento,Bloqueada,"Qualidade; Diagnóstico",reclassificar,"Streaming e fallback não foram validados"
616,"QA — Testar permissões (conceder, negar, revogar)",SignallQ,Tarefa,"Feature QA de release",Crítica,Lançamento,Bloqueada,"Qualidade; Permissões",reclassificar,"Fluxo consolidado permanece bloqueado"
618,"QA — Testar fluxo completo de speedtest end-to-end",SignallQ,Tarefa,"Feature QA de release",Crítica,Lançamento,Bloqueada,"Qualidade; Velocidade",reclassificar,"15 cenários bloqueados e 4 falhos"
620,"QA — Testar fresh install e update de versão anterior",SignallQ,Tarefa,"Feature QA de release",Alta,Lançamento,Bloqueada,"Qualidade",reclassificar,"Upgrade e migração Room não exercitados"
642,"Epic — Pós-lançamento & Rollout",SignallQ,Épico,,Média,Lançamento,Backlog,"Play Store",reclassificar,"Épico migrado como Task"
644,"Epic — Hypercare (30 dias)",SignallQ,Feature,"#642 Pós-lançamento e Rollout",Alta,Lançamento,Backlog,"Qualidade",reclassificar,"Feature de rollout; atualizar responsáveis históricos"
651,"Epic — QA & Testes",SignallQ,Épico,,Crítica,Lançamento,Em validação,"Qualidade",reclassificar,"Épico com tarefas QA filhas explícitas"
